,0
0,1.1533045355420068
1,1.0822952596516764
2,1.0675040709991621
3,1.0603288988660022
4,1.05598034976285
5,1.0530414604024587
6,1.0509237603012853
7,1.0493311179304035
8,1.048095416746403
9,1.047113164610868
10,1.0463168814126569
11,1.0456606409991502
12,1.0451121268957002
13,1.0446479798763195
14,1.0442509345894606
15,1.043907985935754
16,1.0436091761272492
17,1.0433467702579677
18,1.043114682842374
19,1.0429080708646987
20,1.042723039878867
21,1.0425564284233455
22,1.0424056476618895
23,1.0422685605919595
24,1.0421433900107233
25,1.042028647655039
26,1.041923079117515
27,1.0418256206453353
28,1.0417353649794705
29,1.0416515341357815
30,1.041573457562657
31,1.0415005544961935
32,1.041432319616993
33,1.0413683113220356
34,1.0413081420814152
35,1.0412514704674747
36,1.0411979945332457
37,1.0411474462855004
38,1.0410995870503965
39,1.0410542035705714
40,1.0410111047044563
41,1.0409701186236233
42,1.0409310904237823
43,1.0408938800807468
44,1.0408583606952386
45,1.0408244169804493
46,1.0407919439543805
47,1.040760845805548
48,1.040731034905947
49,1.0407024309495334
50,1.0406749601980265
51,1.040648554818771
52,1.0406231523017988
53,1.0405986949452373
54,1.0405751293998646
55,1.0405524062649916
56,1.0405304797290151
57,1.0405093072489406
58,1.0404888492639985
59,1.0404690689391574
60,1.0404499319349234
61,1.0404314062002993
62,1.0404134617862022
63,1.0403960706769924
64,1.040379206638068
65,1.0403628450777478
66,1.040346962921879
67,1.0403315384998084
68,1.0403165514405193
69,1.0403019825778719
70,1.040287813864028
71,1.0402740282902274
72,1.0402606098141958
73,1.0402475432935328
74,1.0402348144245122
75,1.0402224096857766
76,1.0402103162864784
77,1.0401985221184515
78,1.040187015712058
79,1.0401757861953744
80,1.040164823256431
81,1.0401541171082354
82,1.0401436584563468
83,1.0401334384687808
84,1.0401234487480564
85,1.040113681305205
86,1.0401041285355876
87,1.0400947831963705
88,1.0400856383855315
89,1.0400766875222769
90,1.0400679243287605
91,1.0400593428130043
92,1.0400509372529343
93,1.0400427021814416
94,1.0400346323724015
95,1.040026722827574
96,1.0400189687643262
97,1.040011365604119
98,1.0400039089616977
99,1.0399965946349465
